id,name,party,partyLabel,votes,election,electionLabel,ranking
Q193630,John Hume,Q175443,Social Democratic and Labour Party,12282,Q11918778,1982 Assembly election,1
Q57689,Martin McGuinness,Q76382,Sinn Féin,8207,Q11918778,1982 Assembly election,2
Q6110990,Jack Allen,Q841045,Ulster Unionist Party,9357,Q11918778,1982 Assembly election,3
Q6139207,James McClure,Q215519,Democratic Unionist Party,8827,Q11918778,1982 Assembly election,4
Q8007929,William Douglas,Q841045,Ulster Unionist Party,9244,Q11918778,1982 Assembly election,5
Q5931506,Hugh Logue,Q175443,Social Democratic and Labour Party,8013,Q11918778,1982 Assembly election,6
Q268465,Gregory Campbell,Q215519,Democratic Unionist Party,6540,Q11918778,1982 Assembly election,7
,Pat Devine,Q175443,Social Democratic and Labour Party,5985,Q11918778,1982 Assembly election,8
,Paul Baxter,Q841045,Ulster Unionist Party,5150,Q11918778,1982 Assembly election,9
,Bill Matthews,Q244927,Alliance Party of Northern Ireland,3650,Q11918778,1982 Assembly election,10
,William Norris,Q215519,Democratic Unionist Party,1896,Q11918778,1982 Assembly election,11
,Thomas Fleming,Q841045,Ulster Unionist Party,1849,Q11918778,1982 Assembly election,12
,Ita Breen,Q244927,Alliance Party of Northern Ireland,1532,Q11918778,1982 Assembly election,13
,Eamon Melaugh,Q1860218,Workers' Party of Ireland,1122,Q11918778,1982 Assembly election,14
,Cathal Crumley,Q76382,Sinn Féin,606,Q11918778,1982 Assembly election,15
Q193630,John Hume,Q175443,Social Democratic and Labour Party,11941,Q7058486,1975 Constitutional Convention,1
Q16841976,Sheena Conn,Q841045,Ulster Unionist Party,8789,Q7058486,1975 Constitutional Convention,2
Q5568678,Glenn Barr,Q3896802,Vanguard Progressive Unionist Party,7883,Q7058486,1975 Constitutional Convention,3
Q5931506,Hugh Logue,Q175443,Social Democratic and Labour Party,8445.30,Q7058486,1975 Constitutional Convention,4
Q8007929,William Douglas,Q841045,Ulster Unionist Party,10301.74,Q7058486,1975 Constitutional Convention,5
Q17305748,Michael Canavan,Q175443,Social Democratic and Labour Party,7779.25,Q7058486,1975 Constitutional Convention,6
Q6139207,James McClure,Q215519,Democratic Unionist Party,7509.67,Q7058486,1975 Constitutional Convention,7
Q6099340,Ivor Canavan,Q244927,Alliance Party of Northern Ireland,6079.57,Q7058486,1975 Constitutional Convention,8
,John Williamson,Q841045,Ulster Unionist Party,4186.89,Q7058486,1975 Constitutional Convention,9
Q16091941,Leslie Morrell,Q7886826,Unionist Party of Northern Ireland,2921.10,Q7058486,1975 Constitutional Convention,10
,Randall Crawford,Q3896802,Vanguard Progressive Unionist Party,2183.99,Q7058486,1975 Constitutional Convention,11
,Bill Matthews,Q244927,Alliance Party of Northern Ireland,2059.89,Q7058486,1975 Constitutional Convention,12
,Liam Gallagher,Q1860218,Republican Clubs,845.68,Q7058486,1975 Constitutional Convention,13
,Patrick Kealey,Q1860218,Republican Clubs,523.05,Q7058486,1975 Constitutional Convention,14
Q17305757,Alan Carr,Q7058511,Northern Ireland Labour Party,339.50,Q7058486,1975 Constitutional Convention,15
,Cahal Newcombe,Q1860218,Republican Clubs,157.72,Q7058486,1975 Constitutional Convention,16
Q193630,John Hume,Q175443,Social Democratic and Labour Party,12596,Q7058471,1973 Assembly election,1
Q16091941,Leslie Morrell,Q841045,Ulster Unionist Party,9685,Q7058471,1973 Assembly election,2
Q5931506,Hugh Logue,Q175443,Social Democratic and Labour Party,8767.82,Q7058471,1973 Assembly election,3
Q8007929,William Douglas,Q841045,Ulster Unionist Party,8865.80,Q7058471,1973 Assembly election,4
Q5568678,Glenn Barr,Q3896802,Vanguard Progressive Unionist Party,8567.90,Q7058471,1973 Assembly election,5
Q17305748,Michael Canavan,Q175443,Social Democratic and Labour Party,8647.98,Q7058471,1973 Assembly election,6
Q16841976,Sheena Conn,Q841045,Ulster Unionist Party,8096.24,Q7058471,1973 Assembly election,7
,Brian Brown,Q244927,Alliance Party of Northern Ireland,5711.66,Q7058471,1973 Assembly election,8
Q5336292,Eddie McAteer,Q6979788,Nationalist Party (Northern Ireland),4157.54,Q7058471,1973 Assembly election,9
,Edward McIvor,Q244927,Alliance Party of Northern Ireland,2538.44,Q7058471,1973 Assembly election,10
,Thomas Hagan,Q3896802,Vanguard Progressive Unionist Party,2009.18,Q7058471,1973 Assembly election,11
,John Hamill,Q244927,Alliance Party of Northern Ireland,1213.82,Q7058471,1973 Assembly election,12
,Jackson Taggart,Q3896802,Vanguard Progressive Unionist Party,1049.40,Q7058471,1973 Assembly election,13
,Grace Stevenson,Q7058511,Northern Ireland Labour Party,376.14,Q7058471,1973 Assembly election,14
